customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2824-A859,Male,1,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,24.4,1508.04,No
5506-H328,Female,0,No,No,69,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),44.62,3072.96,No
3286-X204,Male,0,No,No,63,No,No phone service,No,No,Yes,No,No,No,Yes,One year,No,Mailed check,42.82,2692.16,No
9935-C704,Male,1,Yes,No,2,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,48.06,89.38,No
7912-B130,Male,0,Yes,Yes,54,Yes,No phone service,No,No,No,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,82.65,4471.6,No
2535-G338,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,88.31,1425.65,No
9279-T127,Male,1,Yes,No,55,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,52.33,2870.56,No
4257-W765,Male,0,No,Yes,43,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,97.47,4182.28,No
9928-N325,Male,1,No,Yes,61,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),60.24,3672.78,No
8359-S384,Female,1,No,Yes,38,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),70.75,2679.77,No
1106-Y925,Male,0,No,Yes,45,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,32.88,1469.43,No
3615-W532,Male,1,Yes,No,51,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),41.66,2121.17,No
6574-I259,Male,0,No,Yes,42,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,91.37,3839.98,No
4527-Y444,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,One year,Yes,Credit card (automatic),116.44,2796.87,No
2674-C489,Female,0,No,Yes,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),89.07,2668.97,No
2584-L967,Male,1,No,Yes,37,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),23.7,871.66,No
6635-T370,Female,0,No,No,53,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),32.61,1734.42,No
1711-X570,Female,0,Yes,No,63,No,No,No,No,No internet service,No,Yes,No,No internet service,One year,Yes,Mailed check,63.05,3976.03,No
9785-D487,Female,0,Yes,No,11,Yes,No phone service,No,No internet service,No,No,Yes,No,No internet service,Two year,No,Credit card (automatic),91.87,1012.29,No
2291-R400,Male,0,No,Yes,23,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,34.93,797.75,No
6925-S296,Female,0,No,Yes,50,Yes,Yes,No,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.71,4698.83,No
2139-B777,Male,0,No,No,55,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,No,Electronic check,74.11,4062.94,No
4733-Y396,Female,0,Yes,No,55,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),96.09,5279.36,No
2307-H987,Female,0,Yes,Yes,4,Yes,Yes,No,No,No,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),74.29,287.29,No
2654-M384,Female,1,Yes,No,54,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Bank transfer (automatic),78.8,4255.22,No
8428-U954,Female,0,No,No,61,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.25,2631.58,No
6977-F479,Female,0,Yes,Yes,5,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No,One year,No,Bank transfer (automatic),90.63,454.09,No
6820-G786,Female,1,No,No,18,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.07,1860.5,No
5374-W799,Female,0,Yes,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,No,Credit card (automatic),105.81,4668.29,No
2169-T750,Female,1,No,Yes,31,Yes,No,No,No,No,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),21.21,659.66,No
3803-R846,Male,0,No,Yes,21,Yes,No phone service,No,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,81.02,1703.41,No
5010-F573,Male,1,Yes,No,47,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,117.7,5536.2,No
7216-I755,Female,0,No,No,30,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),77.24,2294.35,No
4598-V432,Female,0,No,No,55,No,Yes,No,No,No internet service,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),35.46,1950.87,No
1916-H941,Female,0,No,No,68,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),106.45,7227.53,No
1525-Z423,Male,1,Yes,Yes,69,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),44.81,3085.4,No
7572-I167,Female,0,No,Yes,41,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,Yes,One year,No,Electronic check,22.77,932.37,No
4456-S997,Male,0,Yes,No,45,Yes,No phone service,No,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,61.52,2777.92,No
6155-G771,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,28.33,832.23,No
9179-M758,Male,0,No,No,45,No,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,29.83,1344.74,No
8517-E371,Male,0,Yes,No,45,Yes,No phone service,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,No,Mailed check,64.81,2917.49,No
3287-H862,Male,0,No,Yes,45,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,Two year,No,Credit card (automatic),79.82,3596.21,No
9830-I864,Female,1,Yes,No,55,Yes,No,No,No,No internet service,No internet service,No internet service,No,No,Two year,No,Mailed check,109.24,6030.57,No
8019-S508,Female,0,No,Yes,59,Yes,No phone service,DSL,No,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,89.13,5274.23,No
6930-H241,Female,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,One year,No,Electronic check,102.93,517.56,No
9348-P193,Female,0,No,No,32,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Two year,No,Credit card (automatic),59.63,1913.77,No
1771-D256,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),50.27,301.25,No
3621-Z796,Male,0,No,Yes,26,Yes,No phone service,No,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),77.83,2031.17,No
7916-T165,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,88.15,3261.91,No
7304-M710,Female,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.36,983.95,No
8668-Q357,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,44.83,3086.63,No
1188-V838,Female,0,No,No,25,Yes,No phone service,DSL,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),55.41,1387.56,No
2876-V649,Male,1,Yes,Yes,13,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),63.3,836.52,No
5371-Y756,Female,1,No,Yes,20,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),19.67,399.08,No
6573-D400,Male,0,No,Yes,72,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.67,7681.41,No
8123-F564,Female,1,Yes,No,60,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Mailed check,69.65,4149.99,No
1053-X996,Female,0,Yes,Yes,21,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),93.73,1972.17,No
5315-Q880,Male,0,No,Yes,61,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),35.53,2166.46,No
3927-Q208,Male,0,Yes,No,26,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),74.19,1918.21,No
5889-U619,Male,0,No,No,54,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Mailed check,111.33,6011.15,No
4258-E482,Male,0,Yes,Yes,42,No,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,39.78,1670.14,No
3646-R897,Male,0,Yes,Yes,11,Yes,No,DSL,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),53.01,583.17,No
9689-A713,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),57.28,2126.81,No
6310-P119,Male,0,Yes,Yes,11,Yes,No,No,No,No internet service,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),56.77,622.36,No
2832-L999,Male,0,Yes,No,27,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,78.61,2120.02,No
6038-H159,Female,0,No,No,34,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),57.82,1962.35,No
4946-S180,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,Yes,One year,No,Electronic check,85.99,3270.06,No
2403-X597,Male,0,Yes,No,61,Yes,No phone service,No,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,66.95,4089.37,No
2133-Y645,Female,1,No,Yes,53,Yes,No,DSL,Yes,No,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,34.09,1819.66,No
3060-E775,Female,1,No,No,65,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),113.58,7387.99,No
8787-R269,Female,0,No,No,3,Yes,No,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,42.32,137.73,No
5342-Q993,Female,1,Yes,Yes,67,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.78,,No
7932-G652,Male,0,Yes,Yes,28,Yes,Yes,No,No internet service,No,No internet service,No internet service,No,No internet service,One year,No,Mailed check,24.35,683.33,No
